Time, Heart Rate, Latitude, Longitude, Altitude (meters above sea level), Speed (meters/second), Heart Rate Variability (milliseconds), Calories Burned (kcal), Battery Level (%)
09/26/2018 19:14:50,86,0.0,0.0,0.0,0.0,,14,96
09/26/2018 19:14:51,86,0.0,0.0,0.0,0.0,,14,96
09/26/2018 19:14:52,86,0.0,0.0,0.0,0.0,,14,96
09/26/2018 19:14:53,86,0.0,0.0,0.0,0.0,,14,96
09/26/2018 19:14:55,86,0.0,0.0,0.0,0.0,,15,96
09/26/2018 19:14:56,86,0.0,0.0,0.0,0.0,,15,96
09/26/2018 19:14:56,86,0.0,0.0,0.0,0.0,,15,96
09/26/2018 19:14:57,87,0.0,0.0,0.0,0.0,,15,96
09/26/2018 19:14:58,87,0.0,0.0,0.0,0.0,,15,96
09/26/2018 19:14:59,86,0.0,0.0,0.0,0.0,,15,96
09/26/2018 19:15:00,86,0.0,0.0,0.0,0.0,,15,96
09/26/2018 19:15:01,86,0.0,0.0,0.0,0.0,,15,96
09/26/2018 19:15:02,86,0.0,0.0,0.0,0.0,,16,96
09/26/2018 19:15:03,85,0.0,0.0,0.0,0.0,,16,96
09/26/2018 19:15:04,85,0.0,0.0,0.0,0.0,,16,96
09/26/2018 19:15:05,85,0.0,0.0,0.0,0.0,,16,96
09/26/2018 19:15:06,85,0.0,0.0,0.0,0.0,,16,96
09/26/2018 19:15:07,84,0.0,0.0,0.0,0.0,,16,96
09/26/2018 19:15:08,84,0.0,0.0,0.0,0.0,,16,96
09/26/2018 19:15:09,84,0.0,0.0,0.0,0.0,,16,96
09/26/2018 19:15:11,84,0.0,0.0,0.0,0.0,,16,96
09/26/2018 19:15:11,85,0.0,0.0,0.0,0.0,,16,96
09/26/2018 19:15:13,85,0.0,0.0,0.0,0.0,,16,96
09/26/2018 19:15:14,85,0.0,0.0,0.0,0.0,,16,96
09/26/2018 19:15:14,85,0.0,0.0,0.0,0.0,,16,96
09/26/2018 19:15:16,85,0.0,0.0,0.0,0.0,,17,96
09/26/2018 19:15:16,85,0.0,0.0,0.0,0.0,,17,96
09/26/2018 19:15:17,86,0.0,0.0,0.0,0.0,,17,96
09/26/2018 19:15:18,86,0.0,0.0,0.0,0.0,,17,96
09/26/2018 19:15:19,86,0.0,0.0,0.0,0.0,,17,96
09/26/2018 19:15:20,87,0.0,0.0,0.0,0.0,,17,96
09/26/2018 19:15:21,87,0.0,0.0,0.0,0.0,,18,96
09/26/2018 19:15:22,87,0.0,0.0,0.0,0.0,,18,96
09/26/2018 19:15:23,87,0.0,0.0,0.0,0.0,,18,96
09/26/2018 19:15:25,87,0.0,0.0,0.0,0.0,,18,96
09/26/2018 19:15:26,88,0.0,0.0,0.0,0.0,,18,96
09/26/2018 19:15:27,88,0.0,0.0,0.0,0.0,,18,96
09/26/2018 19:15:27,88,0.0,0.0,0.0,0.0,,18,96
09/26/2018 19:15:28,89,0.0,0.0,0.0,0.0,,18,96
09/26/2018 19:15:29,90,0.0,0.0,0.0,0.0,,18,96
09/26/2018 19:15:30,90,0.0,0.0,0.0,0.0,,18,96
09/26/2018 19:15:31,91,0.0,0.0,0.0,0.0,,18,96
09/26/2018 19:15:32,91,0.0,0.0,0.0,0.0,,18,96
09/26/2018 19:15:33,91,0.0,0.0,0.0,0.0,,19,96
09/26/2018 19:15:34,92,0.0,0.0,0.0,0.0,,19,96
09/26/2018 19:15:36,93,0.0,0.0,0.0,0.0,,19,96
09/26/2018 19:15:37,94,0.0,0.0,0.0,0.0,,19,96
09/26/2018 19:15:37,94,0.0,0.0,0.0,0.0,,19,96
09/26/2018 19:15:38,95,0.0,0.0,0.0,0.0,,19,96
09/26/2018 19:15:39,95,0.0,0.0,0.0,0.0,,19,96
09/26/2018 19:15:40,95,0.0,0.0,0.0,0.0,,20,96
09/26/2018 19:15:41,95,0.0,0.0,0.0,0.0,,20,96
09/26/2018 19:15:43,95,0.0,0.0,0.0,0.0,,20,96
09/26/2018 19:15:44,95,0.0,0.0,0.0,0.0,,20,96
09/26/2018 19:15:44,95,0.0,0.0,0.0,0.0,,20,96
09/26/2018 19:15:46,94,0.0,0.0,0.0,0.0,,20,96
09/26/2018 19:15:46,94,0.0,0.0,0.0,0.0,,20,96
09/26/2018 19:15:48,94,0.0,0.0,0.0,0.0,,20,96
09/26/2018 19:15:48,94,0.0,0.0,0.0,0.0,,20,96
09/26/2018 19:15:49,94,0.0,0.0,0.0,0.0,,20,96
09/26/2018 19:15:51,93,0.0,0.0,0.0,0.0,,21,96
09/26/2018 19:15:51,93,0.0,0.0,0.0,0.0,,21,96
09/26/2018 19:15:52,93,0.0,0.0,0.0,0.0,,21,96
09/26/2018 19:15:53,92,0.0,0.0,0.0,0.0,,21,96
09/26/2018 19:15:54,92,0.0,0.0,0.0,0.0,,21,96
09/26/2018 19:15:55,93,0.0,0.0,0.0,0.0,,21,96
09/26/2018 19:15:57,93,0.0,0.0,0.0,0.0,,21,96
09/26/2018 19:15:57,93,0.0,0.0,0.0,0.0,,21,96
09/26/2018 19:15:58,94,0.0,0.0,0.0,0.0,,22,96
09/26/2018 19:15:59,94,0.0,0.0,0.0,0.0,,22,96
09/26/2018 19:16:02,94,0.0,0.0,0.0,0.0,,22,96
09/26/2018 19:16:02,94,0.0,0.0,0.0,0.0,,22,96
09/26/2018 19:16:03,94,0.0,0.0,0.0,0.0,,22,96
09/26/2018 19:16:04,94,0.0,0.0,0.0,0.0,,22,96
09/26/2018 19:16:05,94,0.0,0.0,0.0,0.0,,22,96
09/26/2018 19:16:06,94,0.0,0.0,0.0,0.0,,23,96
09/26/2018 19:16:07,94,0.0,0.0,0.0,0.0,,23,96
09/26/2018 19:16:07,94,0.0,0.0,0.0,0.0,,23,96
09/26/2018 19:16:08,94,0.0,0.0,0.0,0.0,,23,96
09/26/2018 19:16:09,94,0.0,0.0,0.0,0.0,,23,96
09/26/2018 19:16:10,94,0.0,0.0,0.0,0.0,,23,96
09/26/2018 19:16:11,94,0.0,0.0,0.0,0.0,,23,96
09/26/2018 19:16:12,93,0.0,0.0,0.0,0.0,,23,96
09/26/2018 19:16:13,92,0.0,0.0,0.0,0.0,,23,96
09/26/2018 19:16:14,92,0.0,0.0,0.0,0.0,,23,96
09/26/2018 19:16:15,91,0.0,0.0,0.0,0.0,,23,96
09/26/2018 19:16:16,91,0.0,0.0,0.0,0.0,,23,96
09/26/2018 19:16:17,91,0.0,0.0,0.0,0.0,,23,96
09/26/2018 19:16:19,90,0.0,0.0,0.0,0.0,,24,96
09/26/2018 19:16:19,89,0.0,0.0,0.0,0.0,,24,96
09/26/2018 19:16:20,88,0.0,0.0,0.0,0.0,,24,96
09/26/2018 19:16:21,88,0.0,0.0,0.0,0.0,,24,96
09/26/2018 19:16:22,88,0.0,0.0,0.0,0.0,,25,96
09/26/2018 19:16:23,87,0.0,0.0,0.0,0.0,,25,96
09/26/2018 19:16:24,85,0.0,0.0,0.0,0.0,,25,96
09/26/2018 19:16:25,85,0.0,0.0,0.0,0.0,,25,96
09/26/2018 19:16:26,84,0.0,0.0,0.0,0.0,,25,96
09/26/2018 19:16:27,84,0.0,0.0,0.0,0.0,,25,96
09/26/2018 19:16:28,84,0.0,0.0,0.0,0.0,,25,96
09/26/2018 19:16:29,84,0.0,0.0,0.0,0.0,,25,96
09/26/2018 19:16:30,84,0.0,0.0,0.0,0.0,,25,96
09/26/2018 19:16:31,84,0.0,0.0,0.0,0.0,,25,96
09/26/2018 19:16:32,84,0.0,0.0,0.0,0.0,,25,96
09/26/2018 19:16:33,84,0.0,0.0,0.0,0.0,,26,96
09/26/2018 19:16:34,84,0.0,0.0,0.0,0.0,,26,96
09/26/2018 19:16:38,83,0.0,0.0,0.0,0.0,,26,96
09/26/2018 19:16:39,83,0.0,0.0,0.0,0.0,,26,96
09/26/2018 19:16:39,83,0.0,0.0,0.0,0.0,,26,96
09/26/2018 19:16:40,84,0.0,0.0,0.0,0.0,,26,96
09/26/2018 19:16:40,84,0.0,0.0,0.0,0.0,,26,96
09/26/2018 19:16:41,83,0.0,0.0,0.0,0.0,,26,96
09/26/2018 19:16:42,82,0.0,0.0,0.0,0.0,,26,96
09/26/2018 19:16:43,80,0.0,0.0,0.0,0.0,,26,96
09/26/2018 19:16:45,78,0.0,0.0,0.0,0.0,,27,96
09/26/2018 19:16:45,76,0.0,0.0,0.0,0.0,,27,96
09/26/2018 19:16:46,76,0.0,0.0,0.0,0.0,,27,96
